CountyCode,log_permil
31167,-1.7823823074154581
45063,-1.7854758798763997
20181,-1.7859090555498793
21209,-1.7912408162323215
51790,-1.806771226848493
53075,-1.8093333074284998
51760,-1.8244148744152495
06019,-1.8248708001821023
29510,-1.8290680991044101
29063,-1.8415808475451108
34005,-1.8449753274503466
31001,-1.846373909167933
18043,-1.8587688935019577
17087,-1.8642351575501046
45077,-1.8666309343080154
16043,-1.8674079209003558
18163,-1.870268033672462
47123,-1.8820788607628234
45045,-1.8946489343537054
01109,-1.8956989757304343
13087,-1.9029280851688577
47093,-1.9032745361330667
28073,-1.9122384560175822
04025,-1.9220875042535492
12073,-1.924672615221953
02130,-1.9276006921394682
37113,-1.9279207340385935
29095,-1.9441784918719147
06051,-1.9445520844457422
08031,-1.9561490968580721
37173,-1.9703239771442975
20051,-1.9773049901269464
56045,-1.9790685675330486
20011,-1.9890380543472104
40039,-1.991054218510275
54011,-1.999263408169968
51013,-2.0043094721163315
21151,-2.009856977320034
47011,-2.010034043430761
45019,-2.0123437736190395
16019,-2.012517956314261
48041,-2.0282253768041167
45073,-2.0328084244110993
29195,-2.0360119837524997
40123,-2.036794966958363
21035,-2.0395826249179483
17109,-2.0475638027818133
31121,-2.0577070495338297
41037,-2.0588561080707275
13187,-2.061945626875576
53033,-2.0637373723510257
48495,-2.0659762907262653
30057,-2.0698961288363047
29135,-2.080565909341545
31131,-2.084491270311942
17065,-2.087037618301464
33009,-2.089481877483337
17165,-2.092152086039016
47143,-2.093159518508032
40119,-2.0934800392336737
08063,-2.103524212195793
21111,-2.107736365564557
13241,-2.113782580100402
49021,-2.1190027417326682
08003,-2.1195032472536823
48453,-2.11969921033153
27103,-2.1274873812894106
17063,-2.128965563493992
08013,-2.137667002981164
18129,-2.13912454384101
16035,-2.139713160021404
37119,-2.140858069969406
47125,-2.1412623786917964
46011,-2.144028889750353
18097,-2.1467061023158265
24047,-2.1487343681757856
13257,-2.1498611726390346
25007,-2.1544330519701873
05045,-2.1668226419800454
29031,-2.171121402469243
